,Avo,Bela,Can,Cus,Gan,Gaya,Gene,Gran,Guat,Lima,Prai,Pret,Pro,Pru,Pye,Raba,Renn,Reva,Rey,Rioj,Roma,Rosl,Twe,Ula,Umt,Upps,Ura,Wol,Xal,Xala,Xia,Xian,Xin,Yan
Avo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bela,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Can,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gan,0,0,0,0,1,0.5,0.125,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaya,0,0,0,0,0.5,1,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene,0,0,0,0,0.125,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gran,0,0,0,0,0.125,0.25,0.5,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guat,0,0,0,0,0.125,0.25,0.5,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lima,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prai,0,0,0,0,0,0,0,0,0,0,1,0.5,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pret,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pro,0,0,0,0,0,0,0,0,0,0,0.25,0.5,1,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pru,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.25,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pye,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.25,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25,0.125,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0
Renn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0.25,0.125,0.25,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0
Reva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,1,0.5,0.25,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0
Rey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.5,1,0.125,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0
Rioj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.125,1,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0
Roma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.125,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Rosl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.125,0.25,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0
Twe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0.5,0.25,0,0,0,0,0,0,0
Umt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0.5,0.25,0,0,0,0,0,0,0
Upps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0,0,0,0,0,0,0
Ura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,1,0,0,0,0,0,0,0
Wol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Xal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.125,0.125,0.125,0
Xala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.125,0.25,0.125,0
Xia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,1,0.5,0.25,0
Xian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.25,0.5,1,0.5,0
Xin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.25,0.5,1,0
Yan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1