Group;ID;Sex;Age;Rank;standardized_rank;Latency_success;order_first_success;Nb_success;Nb_manip;Nb_Observations_success;Nb_Observations_manip;Nb_being_obs_success;Nb_being_obs_manip;Time
Kubu;Aar;male;infant;NA;NA;4737;1;16;44;0;3;29;81;20929
Kubu;Aara;female;juvenile;12;0,61;23616;9;1;16;3;15;1;29;2050
Kubu;Aare;female;adult;7;0,33;NA;NA;NA;NA;2;9;NA;NA;NA
Kubu;Amg;male;infant;14;0,72;19673;8;3;12;33;59;3;9;5993
Kubu;Amur;female;adult;8;0,39;NA;NA;NA;NA;4;6;NA;NA;NA
Kubu;Arn;male;juvenile;6;0,28;6985;2;1;3;14;33;2;6;18681
Kubu;Lif;male;adult;1;0,00;NA;NA;NA;NA;0;6;NA;NA;NA
Kubu;Mal;male;juvenile;17;0,89;NA;NA;NA;NA;5;13;NA;NA;NA
Kubu;Mara;female;adult;15;0,78;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kubu;Mhao;female;juvenile;18;0,94;7011;3;16;25;10;14;22;22;18655
Kubu;Mokc;female;infant;16;0,83;NA;NA;NA;NA;2;2;NA;NA;NA
Kubu;Nah;male;juvenile;10;0,50;NA;NA;NA;11;4;8;0;14;NA
Kubu;Ness;female;adult;9;0,44;NA;NA;NA;NA;1;9;NA;NA;NA
Kubu;Yalu;female;adult;2;0,06;NA;NA;NA;NA;6;18;NA;NA;NA
Kubu;Yamu;female;juvenile;3;0,11;18650;7;1;1;2;8;1;1;7016
Kubu;Yara;female;infant;13;0,67;13953;5;1;3;1;2;2;4;11713
Kubu;Yeni;female;adult;4;0,17;NA;NA;NA;NA;0;1;NA;NA;NA
Kubu;Yuko;female;juvenile;5;0,22;7413;4;5;15;4;20;4;7;18253
Kubu;Yze;male;infant;11;0,56;18570;6;1;12;1;5;1;19;7096
Noha;Avo;male;adult;25;0,73;122;1;2;6;5;11;12;24;30744
Noha;Bela;female;juvenile;24;0,70;11707;11;13;31;95;159;16;51;19159
Noha;Can;male;adult;13;0,36;24270;24;73;114;290;464;188;299;6596
Noha;Cus;male;adult;16;0,45;17876;19;68;94;107;172;94;132;12990
Noha;Gan;male;infant;18;0,52;23137;23;13;56;153;222;36;138;7729
Noha;Gaya;female;adult;4;0,09;13996;15;141;236;218;348;588;881;16870
Noha;Gene;female;adult;3;0,06;20861;20;144;196;310;476;239;322;10005
Noha;Gran;female;juvenile;1;0,00;159;2;51;108;264;402;172;369;30707
Noha;Guat;female;juvenile;6;0,15;6187;5;37;109;175;277;110;306;24679
Noha;Lima;female;juvenile;26;0,76;9354;6;13;26;46;96;11;39;21512
Noha;Prai;female;juvenile;12;0,33;2158;4;14;33;44;72;17;44;28708
Noha;Pret;female;adult;11;0,30;NA;NA;NA;NA;26;50;NA;NA;NA
Noha;Pro;male;juvenile;19;0,55;11538;10;225;403;485;769;333;617;19328
Noha;Pru;male;juvenile;23;0,67;13985;14;87;174;435;709;147;274;16881
Noha;Pye;male;infant;31;0,91;NA;NA;NA;NA;16;41;NA;NA;NA
Noha;Raba;female;juvenile;32;0,94;9760;8;4;9;28;59;1;2;21106
Noha;Renn;female;adult;27;0,79;NA;NA;NA;NA;4;8;NA;NA;NA
Noha;Reva;female;adult;34;1,00;NA;NA;NA;NA;4;4;NA;NA;NA
Noha;Rey;male;juvenile;30;0,88;11791;12;21;36;63;110;47;70;19075
Noha;Rioj;female;infant;33;0,97;NA;NA;NA;NA;5;16;NA;NA;NA
Noha;Roma;female;adult;28;0,82;NA;NA;NA;NA;5;6;NA;NA;NA
Noha;Rosl;female;juvenile;29;0,85;NA;NA;NA;NA;5;9;NA;NA;NA
Noha;Twe;male;adult;2;0,03;16388;17;374;431;112;198;1489;1996;14478
Noha;Ula;male;juvenile;10;0,27;16954;18;156;222;434;722;452;630;13912
Noha;Umt;male;juvenile;14;0,39;13938;13;139;233;566;911;290;491;16928
Noha;Upps;female;adult;7;0,18;9806;9;200;312;401;658;569;998;21060
Noha;Ura;male;infant;21;0,61;26886;25;6;30;476;715;24;115;3980
Noha;Wol;male;adult;5;0,12;NA;NA;NA;NA;8;11;NA;NA;NA
Noha;Xal;male;infant;20;0,58;9573;7;16;73;142;233;44;168;21293
Noha;Xala;female;adult;8;0,21;21090;22;54;105;217;335;217;402;9776
Noha;Xia;male;juvenile;17;0,48;173;3;79;157;163;260;207;419;30693
Noha;Xian;female;adult;9;0,24;14823;16;138;200;222;386;485;638;16043
Noha;Xin;male;infant;22;0,64;21056;21;8;14;218;357;30;52;9810
Noha;Yan;male;adult;15;0,42;NA;NA;NA;NA;27;64;NA;NA;NA