Date,ID_actor,Time,Event,ID_attending1,ID_attending2,ID_attending3,ID_attending4,ID_attending5,ID_attending6,ID_attending7,ID_attending8,ID_attending9,ID_Attending10
,,,,,,,,,,,,,
31.05.18,Mhao,06:55:29,g,Yalu,Nah,,,,,,,,
,,,,,,,,,,,,,
31.05.18,Mhao,06:55:40,g,Yalu,Nah,,,,,,,,
,,,,,,,,,,,,,
31.05.18,Yuko,06:56:11,g,,,,,,,,,,
,,,,,,,,,,,,,
06.06.18,Yeni,07:11:27,g,,,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Arn,07:07:31,eop,Aare,Aara,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Arn,07:07:33,eop,Aare,Aara,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Arn,07:07:35,eop,Aare,Aara,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Arn,07:07:37,eop,Aara,Aar,Yze,,,,,,,
,,,,,,,,,,,,,
22.06.18,Arn,07:07:40,eop,Aara,Aar,Yze,,,,,,,
,,,,,,,,,,,,,
22.06.18,Arn,07:07:42,eop,Aara,Aar,Yze,,,,,,,
,,,,,,,,,,,,,
22.06.18,Aara,07:07:43,gop,,,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Aara,07:07:54,gopr,Yze,Aar,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Aara,07:07:58,eop,Yze,Aar,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Yze,07:08:01,eop,Aara,,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Aara,07:08:03,eop,Yze,,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Aare,07:08:08,eop,Aara,Yze,Aar,,,,,,,
,,,,,,,,,,,,,
22.06.18,Aare,07:08:09,eop,Aara,Yze,Aar,,,,,,,
,,,,,,,,,,,,,
22.06.18,Aare,07:08:13,eop,Aara,Aar,Yze,,,,,,,
,,,,,,,,,,,,,
22.06.18,Aare,07:08:15,eop,Aara,Aar,Yze,,,,,,,
,,,,,,,,,,,,,
22.06.18,Aare,07:08:18,eop,Aara,Yze,Aar,,,,,,,
,,,,,,,,,,,,,
22.06.18,Aare,07:08:25,eop,Aara,Aar,Yze,,,,,,,
,,,,,,,,,,,,,
22.06.18,Amur,07:08:38,g,Aara,Nah,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Amg,07:08:47,eop,Nah,,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Amg,07:08:49,g,Yze,Nah,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Amur,07:08:51,gopr,Aara,Nah,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Amg,07:08:54,eop,Yze,Nah,Aar,,,,,,,
,,,,,,,,,,,,,
22.06.18,Amur,07:08:57,eop,Aara,Nah,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Amur,07:08:57,gopr,Amg,Nah,Aara,,,,,,,
,,,,,,,,,,,,,
22.06.18,Yze,07:08:59,acmt,Aar,Nah,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Yze,07:09:01,acmt,Nah,,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Aara,07:09:04,eop,Nah,,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Amur,07:09:04,eop,Amg,Nah,Aara,,,,,,,
,,,,,,,,,,,,,
22.06.18,Amg,07:09:06,eop,Nah,,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Amg,07:09:10,eop,Nah,,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Amg,07:09:12,eop,Nah,,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Amg,07:09:13,eop,Yze,Aar,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Baby,07:09:14,acms,Nah,Amg,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Baby,07:09:16,scmt,Nah,,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Amg,07:09:17,eop,Yze,Aar,Aara,,,,,,,
,,,,,,,,,,,,,
22.06.18,Aar,07:09:17,acmt,,,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Amg,07:09:18,eop,Yze,Aar,Aara,,,,,,,
,,,,,,,,,,,,,
22.06.18,Aar,07:09:21,scms,Amg,,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Aara,07:09:24,eop,Amg,Yze,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Aar,07:09:31,eph,,,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Amg,07:09:35,eop,Nah,,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Nah,07:09:40,gop,Aara,Amur,Yalu,Baby,,,,,,
,,,,,,,,,,,,,
22.06.18,Amg,07:09:42,eop,Aar,,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Nah,07:09:47,g,Aara,Yalu,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Yuko,07:10:21,eop,Yze,Yalu,Ness,Baby,,,,,,
,,,,,,,,,,,,,
22.06.18,Yze,07:10:27,eop,Yuko,Yalu,Ness,Baby,,,,,,
,,,,,,,,,,,,,
22.06.18,Aara,07:18:35,eop,Arn,Baby,Baby,Yalu,,,,,,
,,,,,,,,,,,,,
22.06.18,Arn,07:18:37,gopr,Aara,Baby,Baby,Yalu,,,,,,
,,,,,,,,,,,,,
22.06.18,Arn,07:18:40,eop,Aara,Baby,Baby,Yalu,,,,,,
,,,,,,,,,,,,,
22.06.18,Baby,07:18:46,gop,Arn,Aara,Baby,Yalu,,,,,,
,,,,,,,,,,,,,
22.06.18,Ness,07:26:55,gop,,,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Baby,07:38:44,eop,Lif,,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Amg,07:38:57,eop,Lif,Aara,Yze,Aar,Yuko,,,,,
,,,,,,,,,,,,,
22.06.18,Yuko,07:39:07,gop,,,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Yuko,07:39:13,gop,,,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Yuko,07:39:13,gop,Lif,Aara,Amg,Yze,,,,,,
,,,,,,,,,,,,,
22.06.18,Yamu,07:39:17,gop,,,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Yuko,07:39:21,eop,Yze,Amg,Yamu,Lif,Yeni,,,,,
,,,,,,,,,,,,,
22.06.18,Yamu,07:39:24,g,Yze,Amg,Lif,,,,,,,
,,,,,,,,,,,,,
22.06.18,Yeni,07:39:30,gop,,,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Yeni,07:39:38,eop,Yze,Yara,,,,,,,,
,,,,,,,,,,,,,
22.06.18,Yeni,07:39:43,eop,Yze,Yuko,Yara,Yalu,,,,,,
,,,,,,,,,,,,,
22.06.18,Yeni,07:39:44,eop,Yze,Yuko,Yara,Yalu,,,,,,
,,,,,,,,,,,,,
26.06.18,Baby,06:49:26,eop,Yuko,Yamu,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Baby,06:49:28,eop,Yuko,Yamu,Aara,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aara,06:49:38,gop,,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Nah,06:52:09,acmt,Arn,Mal,Mhao,,,,,,,
,,,,,,,,,,,,,
26.06.18,Arn,06:52:10,g,Nah,Mal,Mhao,,,,,,,
,,,,,,,,,,,,,
26.06.18,Arn,06:52:44,acmt,Amg,Aare,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Arn,06:52:50,acmt,Amg,Aare,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Arn,06:52:54,scmt,Amg,Aare,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Mhao,06:53:16,acms,Mal,Arn,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Mhao,06:53:20,scms,Mal,Arn,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Mhao,06:53:28,eph,Mal,Arn,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Mhao,06:53:30,eop,Mal,Arn,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Mhao,06:59:13,eop,Yuko,Baby,Yalu,Aara,Mal,,,,,
,,,,,,,,,,,,,
26.06.18,Baby,06:59:22,eop,Mhao,Yuko,Yalu,Aara,Mal,,,,,
,,,,,,,,,,,,,
26.06.18,Mhao,06:59:25,g,Yuko,Baby,Yalu,Aara,Mal,,,,,
,,,,,,,,,,,,,
26.06.18,Yuko,06:59:30,g,Baby,Yalu,Aara,Mal,,,,,,
,,,,,,,,,,,,,
26.06.18,Yuko,07:00:00,acms,,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Yuko,07:00:02,scms,,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Yuko,07:00:25,epm,,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Mhao,07:02:19,gop,,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Mhao,07:02:33,gop,,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Mhao,07:04:08,scms,Aara,Yamu,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Mhao,07:04:17,epm,Aara,Yamu,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Mhao,07:04:40,epm,Aara,Yamu,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Arn,07:10:48,eop,Yeni,Mal,Aara,Aar,Yamu,Aare,Nah,,,
,,,,,,,,,,,,,
26.06.18,Amg,07:13:57,eop,Aar,Mal,Amur,,,,,,,
,,,,,,,,,,,,,
26.06.18,Amg,07:14:36,eop,Aar,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:14:44,acmt,Yara,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Amg,07:14:46,eop,Aar,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Amg,07:14:56,eop,Aar,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:15:11,acms,Amur,Arn,Amg,Yze,Mal,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:15:15,acms,Amur,Arn,Amg,Yze,Mal,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:15:17,scms,Amur,Arn,Amg,Yze,Mal,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:15:21,epm,Amur,Arn,Amg,Yze,Mal,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:15:31,epm,Amur,Arn,Amg,Yze,Mal,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:15:46,acms,,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:16:28,acms,,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Amg,07:16:32,eop,Arn,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Amg,07:16:42,eop,Arn,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:16:58,acms,Amg,Arn,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:16:59,scms,Amg,Arn,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:19:10,acmt,Arn,Aara,Amg,Mhao,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:19:22,acmt,Arn,Aara,Amg,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:19:33,acmt,Arn,Aara,Amg,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:19:36,acmt,Arn,Aara,Amg,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:19:39,acmt,Arn,Aara,Amg,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:19:42,acmt,Arn,Aara,Amg,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:19:43,acmt,Arn,Aara,Amg,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:19:45,scmt,Arn,Aara,Amg,,,,,,,
,,,,,,,,,,,,,
26.06.18,Mhao,07:19:50,gop,,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:19:52,acms,Arn,Aara,Amg,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:19:53,acms,Arn,Aara,Amg,,,,,,,
,,,,,,,,,,,,,
26.06.18,Mhao,07:20:00,g,Aar,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Mhao,07:20:03,eop,Aar,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:20:06,scmt,Mhao,Amur,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:20:12,scms,Mhao,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:20:16,scms,Mhao,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:20:24,scms,Mhao,Amur,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:20:25,epm,Mhao,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:20:28,epm,Mhao,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:20:29,scms,Mhao,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:20:31,epm,Mhao,Amur,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:20:37,scmt,Mhao,Amur,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:20:41,epm,Mhao,Amur,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:20:56,acms,Mhao,Amg,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:22:43,acms,Arn,Yuko,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:22:49,acms,Arn,Yuko,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:22:51,scms,Arn,Yuko,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:22:58,acms,Arn,Yuko,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Aar,07:23:01,scms,Arn,Yuko,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Yze,07:23:11,g,Yuko,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Yze,07:23:27,acms,Yuko,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Mhao,07:25:18,gop,,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Mhao,07:33:11,gop,Yamu,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Mhao,07:33:13,acms,Yamu,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Mhao,07:33:14,eop,Yamu,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Mhao,07:33:19,acmt,Yamu,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Mhao,07:33:31,acmt,Yamu,,,,,,,,,
,,,,,,,,,,,,,
26.06.18,Mhao,07:33:34,acmt,Yamu,,,,,,,,,
,,,,,,,,,,,,,
