,Aara,Aare,Amg,Amur,Arn,Lif,Mal,Mara,Mhao,Mokc,Nah,Ness,Yalu,Yamu,Yara,Yeni,Yuko,Yze
Aara,1,0.5,0.125,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0
Aare,0.5,1,0.125,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Amg,0.125,0.125,1,0.5,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0
Amur,0.125,0.25,0.5,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Arn,0.125,0.25,0.125,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lif,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mal,0,0,0,0,0,0,1,0.5,0.25,0.25,0,0,0,0,0,0,0,0
Mara,0,0,0,0,0,0,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0
Mhao,0,0,0,0,0,0,0.25,0.5,1,0.25,0,0,0,0,0,0,0,0
Mokc,0,0,0,0,0,0,0.25,0.5,0.25,1,0,0,0,0,0,0,0,0
Nah,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0
Ness,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0
Yalu,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,0.125,0.125
Yamu,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.25,0.125,0.125,0.125
Yara,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.125,0.125,0.125
Yeni,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.125,0.125,1,0.5,0.5
Yuko,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.5,1,0.25
Yze,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.5,0.25,1